Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Avg_Working_time,Years_At_Company_Bin,Percent_Salary_Hike_Bin,Years_With_Current_Manager_Bin
47,Yes,Non-Travel,Research & Development,1,1,Medical,1,14,Male,1,Research Scientist,Married,57620,1,11,8,2,10,4,10,9,9,2,3,1,2,2,9.399931442,5-10 years,10-15 % Salary Hike,5-10 years
28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,15,Male,1,Manufacturing Director,Married,25920,1,14,8,0,5,2,5,0,4,3,3,4,4,2,6.089687644,2-5 years,10-15 % Salary Hike,2-5 years
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,16,Male,2,Healthcare Representative,Married,53460,4,11,8,0,7,2,5,0,1,3,3,3,4,4,6.705174637,2-5 years,10-15 % Salary Hike,0-1 years
21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,17,Male,1,Laboratory Technician,Single,42130,1,12,8,3,3,3,3,1,0,2,3,4,3,4,6.619040627,2-5 years,10-15 % Salary Hike,Less than Year
37,No,Non-Travel,Research & Development,1,3,Medical,1,18,Male,2,Sales Executive,Divorced,41270,2,13,8,1,15,2,5,0,2,3,3,1,4,3,11.01432814,2-5 years,10-15 % Salary Hike,2-5 years
35,No,Travel_Rarely,Sales,7,4,Life Sciences,1,19,Male,1,Sales Representative,Divorced,24380,7,16,8,0,10,5,7,6,2,2,3,2,2,2,6.960253831,5-10 years,15-20 % Salary Hike,2-5 years
38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,20,Female,1,Manager,Divorced,68700,1,11,8,1,8,5,8,7,7,3,3,1,1,3,9.293555796,5-10 years,10-15 % Salary Hike,5-10 years
26,No,Travel_Frequently,Research & Development,1,4,Other,1,21,Male,2,Laboratory Technician,Divorced,104470,1,18,8,0,6,3,6,1,4,3,3,3,2,1,7.590778257,5-10 years,15-20 % Salary Hike,2-5 years
50,No,Travel_Rarely,Sales,8,4,Life Sciences,1,22,Male,1,Research Scientist,Divorced,96670,3,23,8,0,28,2,10,1,6,2,4,1,2,2,6.008613495,5-10 years,20-25 % Salary Hike,5-10 years
53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,1,23,Female,2,Research Scientist,Married,21480,3,11,8,0,21,2,5,1,3,3,3,3,3,2,8.402108477,2-5 years,10-15 % Salary Hike,2-5 years
42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,1,24,Male,1,Manufacturing Director,Married,89260,1,14,8,0,22.0625,4,20,11,6,1,3,2,3,3,6.80700528,10+ years,10-15 % Salary Hike,5-10 years
29,No,Travel_Frequently,Research & Development,16,4,Medical,1,25,Male,1,Laboratory Technician,Single,65130,1,11,8,1,10,2,10,0,9,3,3,2,4,2,7.093167388,5-10 years,10-15 % Salary Hike,5-10 years
55,No,Travel_Rarely,Research & Development,1,4,Other,1,26,Female,1,Research Scientist,Married,67990,3,11,8,0,12,2,10,0,8,3,3,2,4,3,9.362002075,5-10 years,10-15 % Salary Hike,5-10 years
26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,27,Female,1,Manager,Married,162910,1,22,8,0,5,3,5,3,3,3,4,1,1,3,10.97712343,2-5 years,20-25 % Salary Hike,2-5 years
37,No,Travel_Rarely,Sales,5,1,Marketing,1,28,Male,1,Research Scientist,Single,27050,1,11,8,0,17,2,17,5,7,3,3,4,4,3,7.604444444,10+ years,10-15 % Salary Hike,5-10 years
44,Yes,Travel_Frequently,Research & Development,1,2,Medical,1,29,Male,2,Research Scientist,Divorced,103330,3,14,8,1,19,2,1,0,0,2,3,4,3,1,10.97758573,0-1 years,10-15 % Salary Hike,Less than Year
38,No,Travel_Rarely,Sales,2,3,Marketing,1,30,Female,1,Manager,Divorced,44480,9,12,8,0,10,3,2,1,2,2,3,4,4,3,6.831275362,2-5 years,10-15 % Salary Hike,2-5 years
26,Yes,Travel_Rarely,Research & Development,4,3,Medical,1,31,Male,3,Research Scientist,Divorced,68540,2,11,8,0,5,5,3,0,2,2,3,1,2,3,10.10940826,2-5 years,10-15 % Salary Hike,2-5 years
28,No,Travel_Rarely,Research & Development,7,3,Other,1,32,Male,1,Human Resources,Single,96370,1,13,8,0,5,6,5,0,2,2,3,4,4,3,6.709665978,2-5 years,10-15 % Salary Hike,2-5 years
49,No,Travel_Frequently,Research & Development,1,1,Medical,1,33,Female,2,Research Scientist,Single,35910,9,13,8,0,22,2,3,1,2,3,3,3,1,3,10.51821462,2-5 years,10-15 % Salary Hike,2-5 years
36,No,Travel_Rarely,Sales,5,3,Technical Degree,1,34,Male,3,Sales Executive,Single,54050,4,14,8,0,10,2,8,7,7,3,3,3,2,3,6.182887517,5-10 years,10-15 % Salary Hike,5-10 years
31,No,Travel_Frequently,Research & Development,9,4,Medical,1,35,Male,1,Sales Executive,Divorced,46840,1,16,8,1,2,4,2,2,2,3,3,4,2,2,6.586388889,2-5 years,15-20 % Salary Hike,2-5 years
26,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,36,Male,2,Manager,Single,157870,1,12,8,2,8,5,8,7,4,3,3,4,4,3,10.27224138,5-10 years,10-15 % Salary Hike,2-5 years
37,No,Travel_Frequently,Sales,9,1,Marketing,1,37,Male,1,Laboratory Technician,Married,15140,1,14,8,0,4,3,4,1,2,3,3,2,4,2,9.982733012,2-5 years,10-15 % Salary Hike,2-5 years
42,No,Travel_Frequently,Sales,2,2,Marketing,1,38,Male,3,Research Director,Married,29560,5,13,8,0,23,2,20,4,8,3,3,3,2,4,5.979567633,10+ years,10-15 % Salary Hike,5-10 years
18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,39,Male,1,Sales Executive,Single,23350,1,14,8,2,0,3,0,0,0,2,3,3,3,3,6.775967939,Less than year,10-15 % Salary Hike,Less than Year
35,No,Travel_Rarely,Sales,20,2,Life Sciences,1,40,Male,1,Laboratory Technician,Married,51540,0,19,8,0,12,2,11,6,9,2,3,3,2,2,7.690160391,10+ years,15-20 % Salary Hike,5-10 years
36,No,Travel_Frequently,Research & Development,8,3,Other,1,41,Female,3,Sales Executive,Married,69620,4,12,8,2,4,2,1,0,0,2,3,3,3,3,7.204732468,0-1 years,10-15 % Salary Hike,Less than Year
51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,42,Male,2,Laboratory Technician,Divorced,56750,5,13,8,0,13,2,4,1,2,2,3,4,2,3,7.594769504,2-5 years,10-15 % Salary Hike,2-5 years
41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,1,43,Male,1,Laboratory Technician,Single,23790,1,12,8,0,22,6,22,0,4,3,3,4,2,3,6.952642332,Less than year,10-15 % Salary Hike,2-5 years
18,No,Travel_Rarely,Sales,7,3,Life Sciences,1,44,Male,1,Research Scientist,Single,38120,1,15,8,0,0,3,0,0,0,3,3,4,3,3,7.008878472,Less than year,10-15 % Salary Hike,Less than Year
28,No,Travel_Rarely,Research & Development,9,3,Medical,1,45,Male,1,Sales Representative,Single,46480,0,23,8,2,9,2,8,0,7,2,4,2,1,3,7.201573315,5-10 years,20-25 % Salary Hike,5-10 years
31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,1,46,Male,1,Manufacturing Director,Married,29360,4,12,8,1,10,2,8,7,7,3,3,2,4,2,7.172875,5-10 years,10-15 % Salary Hike,5-10 years
39,No,Travel_Rarely,Sales,5,4,Marketing,1,47,Female,2,Human Resources,Divorced,21050,0,20,8,0,19,3,18,3,7,3,4,3,4,2,7.636801418,10+ years,15-20 % Salary Hike,5-10 years
36,No,Non-Travel,Research & Development,5,4,Life Sciences,1,48,Male,1,Sales Executive,Married,85780,7,21,8,0,11,4,9,0,8,3,4,2,2,3,7.832781294,5-10 years,20-25 % Salary Hike,5-10 years
32,No,Travel_Rarely,Sales,2,3,Marketing,1,49,Male,2,Laboratory Technician,Married,27060,1,21,8,1,13,4,13,4,8,3,4,4,3,2,6.974765051,10+ years,20-25 % Salary Hike,5-10 years
38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,50,Female,3,Research Scientist,Married,63840,3,19,8,2,19,4,10,0,1,2,3,1,2,3,6.90642422,5-10 years,15-20 % Salary Hike,0-1 years
58,No,Non-Travel,Research & Development,2,3,Life Sciences,1,51,Male,2,Manufacturing Director,Divorced,39680,2,13,8,2,12,3,5,1,2,2,3,4,3,3,10.89546373,2-5 years,10-15 % Salary Hike,2-5 years
31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,1,52,Female,3,Research Scientist,Married,99070,0,13,8,1,6,3,5,0,3,2,3,3,4,3,9.125665729,2-5 years,10-15 % Salary Hike,2-5 years
31,No,Travel_Rarely,Sales,7,4,Marketing,1,53,Male,2,Sales Executive,Married,132250,3,21,8,1,9,2,2,1,0,3,4,1,1,3,6.831459786,2-5 years,20-25 % Salary Hike,Less than Year
45,No,Travel_Frequently,Research & Development,3,1,Medical,1,54,Female,1,Sales Executive,Divorced,35400,1,13,8,0,24,6,24,9,11,3,3,1,1,3,7.316049906,Less than year,10-15 % Salary Hike,10+ years
31,No,Travel_Rarely,Sales,16,4,Marketing,1,55,Female,2,Research Scientist,Divorced,28040,0,19,8,2,3,0,2,2,2,3,3,3,4,1,8.610798042,2-5 years,15-20 % Salary Hike,2-5 years
33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,56,Male,4,Research Director,Married,193920,6,12,8,1,12,3,10,8,8,3,3,4,2,3,6.784845288,5-10 years,10-15 % Salary Hike,5-10 years
39,No,Travel_Rarely,Sales,1,4,Life Sciences,1,57,Male,1,Sales Executive,Married,196650,1,22,8,1,21,6,21,11,10,3,4,3,1,3,10.98609977,Less than year,20-25 % Salary Hike,5-10 years
43,No,Travel_Frequently,Research & Development,7,4,Medical,1,58,Male,4,Research Scientist,Single,24390,0,15,8,0,9,2,8,1,7,3,3,3,4,3,7.686584679,5-10 years,10-15 % Salary Hike,5-10 years
49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,59,Male,3,Manufacturing Director,Single,73140,7,22,8,0,25,2,7,0,7,3,4,3,3,3,9.948856882,5-10 years,20-25 % Salary Hike,5-10 years
52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,1,60,Female,2,Research Scientist,Married,47740,2,18,8,1,11,2,8,7,7,3,3,3,2,2,7.905527662,5-10 years,15-20 % Salary Hike,5-10 years
27,No,Travel_Rarely,Research & Development,15,4,Medical,1,61,Male,3,Research Scientist,Single,39020,1,22,8,0,4,2,4,1,2,3,4,3,2,2,10.67241462,2-5 years,20-25 % Salary Hike,2-5 years
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,62,Male,3,Research Scientist,Married,26620,1,11,8,1,13,6,13,11,9,4,3,3,2,3,10.49617155,10+ years,10-15 % Salary Hike,5-10 years
27,No,Travel_Rarely,Research & Development,13,2,Medical,1,63,Female,4,Research Director,Single,28560,1,12,8,2,5,5,5,0,4,4,3,4,3,3,10.06926166,2-5 years,10-15 % Salary Hike,2-5 years
31,No,Travel_Rarely,Sales,24,3,Life Sciences,1,64,Male,2,Healthcare Representative,Divorced,10810,4,11,8,3,13,4,7,1,7,4,3,4,4,3,6.607014175,5-10 years,10-15 % Salary Hike,5-10 years
32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,65,Male,2,Healthcare Representative,Single,24720,7,13,8,0,10,2,7,0,7,3,3,1,4,2,7.497914909,5-10 years,10-15 % Salary Hike,5-10 years
28,Yes,Travel_Rarely,Research & Development,9,4,Medical,1,66,Male,1,Sales Executive,Married,56730,5,14,8,1,5,4,3,2,2,2,3,1,4,2,10.72723572,2-5 years,10-15 % Salary Hike,2-5 years
30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,1,67,Female,4,Research Director,Married,41970,1,13,8,0,11,3,10,1,9,3,3,4,4,3,6.18481681,5-10 years,10-15 % Salary Hike,5-10 years
31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,68,Female,1,Manager,Married,97130,1,17,8,0,10,5,10,8,9,2,3,3,3,3,6.609300049,5-10 years,15-20 % Salary Hike,5-10 years
39,No,Travel_Frequently,Research & Development,19,4,Medical,1,69,Female,1,Research Scientist,Married,20620,1,13,8,0,21,4,21,13,3,3,3,3,4,3,6.076246345,Less than year,10-15 % Salary Hike,2-5 years
39,Yes,Travel_Rarely,Research & Development,1,1,Medical,1,70,Female,1,Laboratory Technician,Married,42840,4,17,8,1,12,0,1,0,0,3,3,4,3,2,9.971745709,0-1 years,15-20 % Salary Hike,Less than Year
33,No,Travel_Frequently,Sales,4,2,Life Sciences,1,71,Male,4,Research Scientist,Single,47880,3,11,8,1,9,0,7,0,1,3,3,2,4,2,7.42145202,5-10 years,10-15 % Salary Hike,0-1 years
47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,72,Female,2,Healthcare Representative,Married,59060,4,23,8,0,21,4,3,1,1,4,4,4,3,3,6.493810014,2-5 years,20-25 % Salary Hike,0-1 years
43,No,Travel_Frequently,Research & Development,14,3,Medical,1,73,Female,5,Research Director,Divorced,38860,1,17,8,2,9,2,9,0,0,3,3,3,3,4,6.299470449,5-10 years,15-20 % Salary Hike,Less than Year
27,No,Non-Travel,Research & Development,2,3,Life Sciences,1,74,Male,1,Research Director,Married,168230,0,17,8,0,6,3,5,1,4,3,3,3,2,3,9.316973304,2-5 years,15-20 % Salary Hike,2-5 years
54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,75,Male,2,Research Scientist,Single,29330,3,12,8,2,20,2,4,0,3,3,3,4,3,2,6.097862787,2-5 years,10-15 % Salary Hike,2-5 years
43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,76,Female,2,Manager,Married,65000,8,23,8,0,10,3,1,0,0,3,4,3,1,2,7.217327264,0-1 years,20-25 % Salary Hike,Less than Year
45,No,Travel_Rarely,Sales,3,1,Marketing,1,77,Female,1,Sales Executive,Married,171740,9,14,8,1,12,6,10,9,8,3,3,4,4,3,7.100070018,5-10 years,10-15 % Salary Hike,5-10 years
40,No,Travel_Rarely,Research & Development,2,4,Other,1,78,Male,4,Research Scientist,Married,50330,2,14,8,2,6,6,4,0,2,3,3,2,4,2,9.914107744,2-5 years,10-15 % Salary Hike,2-5 years
29,Yes,Travel_Rarely,Research & Development,29,3,Medical,1,79,Female,1,Research Scientist,Married,23070,1,13,8,1,7,0,7,0,7,3,3,2,1,2,10.47778865,5-10 years,10-15 % Salary Hike,5-10 years
29,No,Travel_Rarely,Human Resources,8,3,Medical,1,80,Male,3,Sales Representative,Single,25870,0,22,8,2,4,3,3,2,2,3,4,2,4,3,6.906938633,2-5 years,20-25 % Salary Hike,2-5 years
30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,81,Male,2,Research Scientist,Divorced,55070,1,12,8,2,10,2,10,1,2,2,3,4,3,3,7.589092433,5-10 years,10-15 % Salary Hike,2-5 years
27,No,Travel_Rarely,Research & Development,11,2,Medical,1,82,Male,1,Manager,Married,43930,1,18,8,1,8,2,8,0,7,2,3,2,2,3,6.079724499,5-10 years,15-20 % Salary Hike,5-10 years
37,No,Travel_Rarely,Sales,1,4,Life Sciences,1,83,Male,2,Healthcare Representative,Divorced,133480,7,14,8,0,8,4,6,0,4,3,3,4,4,2,6.001112288,5-10 years,10-15 % Salary Hike,2-5 years
38,No,Travel_Rarely,Research & Development,28,4,Medical,1,84,Male,1,Laboratory Technician,Divorced,65830,0,12,8,0,12,1,11,2,9,3,3,3,4,3,8.983123278,10+ years,10-15 % Salary Hike,5-10 years
31,No,Travel_Rarely,Research & Development,6,3,Medical,1,85,Female,3,Manager,Single,81030,1,15,8,1,11,5,11,4,10,3,3,3,4,3,10.42618464,10+ years,10-15 % Salary Hike,5-10 years
29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,86,Male,3,Sales Executive,Divorced,39780,1,11,8,0,7,0,7,1,7,3,3,4,2,3,8.387526184,5-10 years,10-15 % Salary Hike,5-10 years
35,No,Travel_Rarely,Sales,16,2,Technical Degree,1,87,Male,3,Manager,Single,25440,0,13,8,1,17,3,16,0,13,4,3,3,2,3,7.912038627,10+ years,10-15 % Salary Hike,10+ years
23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,1,88,Male,1,Manufacturing Director,Divorced,53990,1,23,8,0,4,2,4,0,2,2,4,3,4,2,7.105291842,2-5 years,20-25 % Salary Hike,2-5 years
41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,89,Female,1,Laboratory Technician,Single,54870,6,19,8,2,8,0,5,1,2,3,3,4,2,3,9.688633194,2-5 years,15-20 % Salary Hike,2-5 years
47,No,Travel_Frequently,Sales,1,3,Medical,1,90,Female,2,Laboratory Technician,Single,68340,3,16,8,1,5,2,0,0,0,4,3,2,3,3,7.770347513,Less than year,15-20 % Salary Hike,Less than Year
42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,91,Male,1,Manager,Single,10910,2,22,8,0,16,0,1,0,0,1,4,1,4,3,6.284280356,0-1 years,20-25 % Salary Hike,Less than Year
29,No,Non-Travel,Sales,22,4,Marketing,1,92,Male,2,Human Resources,Married,57360,1,22,8,0,4,1,4,0,2,2,4,4,3,2,6.306108727,2-5 years,20-25 % Salary Hike,2-5 years
42,No,Travel_Rarely,Sales,7,4,Medical,1,93,Male,3,Research Scientist,Divorced,22260,0,12,8,1,4,3,3,1,0,2,3,3,3,3,8.831585039,2-5 years,10-15 % Salary Hike,Less than Year
32,No,Travel_Rarely,Research & Development,2,3,Medical,1,94,Male,2,Research Scientist,Married,57470,1,13,8,0,8,0,8,0,7,3,3,3,2,3,7.722377345,5-10 years,10-15 % Salary Hike,5-10 years
48,No,Travel_Rarely,Sales,13,4,Medical,1,95,Male,4,Sales Executive,Married,98540,3,16,8,1,15,2,0,0,0,2,3,1,3,1,7.317479733,Less than year,15-20 % Salary Hike,Less than Year
37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,1,96,Male,2,Manufacturing Director,Divorced,54670,4,12,8,0,13,2,7,6,7,3,3,3,1,3,10.79826248,5-10 years,10-15 % Salary Hike,5-10 years
30,No,Non-Travel,Sales,25,4,Other,1,97,Male,1,Healthcare Representative,Married,53800,7,21,8,1,4,0,2,2,2,3,4,4,3,4,10.40136395,2-5 years,20-25 % Salary Hike,2-5 years
26,No,Travel_Rarely,Sales,28,3,Medical,1,98,Female,5,Laboratory Technician,Married,51510,1,15,8,3,8,3,8,7,7,3,3,3,3,3,5.994326703,5-10 years,10-15 % Salary Hike,5-10 years
42,No,Travel_Rarely,Sales,2,2,Medical,1,99,Female,1,Laboratory Technician,Single,21330,3,13,8,2,14,2,1,0,0,3,3,1,4,3,6.113110181,0-1 years,10-15 % Salary Hike,Less than Year
21,Yes,Travel_Frequently,Research & Development,9,3,Medical,1,100,Female,4,Manufacturing Director,Single,178750,1,12,8,0,3,5,3,1,2,2,3,1,2,3,8.133578097,2-5 years,10-15 % Salary Hike,2-5 years
36,No,Non-Travel,Human Resources,28,3,Human Resources,1,101,Male,2,Laboratory Technician,Single,24320,4,22,8,0,7,4,1,0,0,1,4,4,4,3,7.30616499,0-1 years,20-25 % Salary Hike,Less than Year
36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,1,102,Female,2,Research Scientist,Married,47710,4,13,8,1,16,2,13,1,12,3,3,1,4,3,7.105030345,10+ years,10-15 % Salary Hike,10+ years
57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,103,Male,5,Research Scientist,Married,191610,2,18,8,0,15,2,3,1,2,1,3,4,3,3,6.327729314,2-5 years,15-20 % Salary Hike,2-5 years
40,No,Travel_Rarely,Research & Development,8,3,Other,1,104,Male,2,Sales Executive,Married,50870,3,14,8,1,10,3,7,1,7,3,3,4,3,3,8.12851216,5-10 years,10-15 % Salary Hike,5-10 years
21,No,Non-Travel,Research & Development,1,5,Life Sciences,1,105,Female,2,Manager,Single,28630,1,14,8,0,3,2,3,2,2,1,3,1,4,2,7.986432557,2-5 years,10-15 % Salary Hike,2-5 years
33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,1,106,Female,5,Manager,Single,55610,1,21,8,1,1,3,1,0,0,1,4,4,3,3,10.50909692,0-1 years,20-25 % Salary Hike,Less than Year
37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,107,Male,4,Research Scientist,Married,21440,6,19,8,0,17,3,5,0,3,4,3,3,1,3,7.993284031,2-5 years,15-20 % Salary Hike,2-5 years
46,No,Non-Travel,Sales,2,4,Marketing,1,108,Female,2,Laboratory Technician,Married,30650,2,11,8,0,7,3,1,0,0,3,3,3,3,4,6.103653752,0-1 years,10-15 % Salary Hike,Less than Year
41,Yes,Travel_Frequently,Research & Development,16,1,Medical,1,109,Female,1,Research Scientist,Single,28100,1,11,8,0,8,3,8,7,7,4,3,1,2,3,7.587908918,5-10 years,10-15 % Salary Hike,5-10 years
50,No,Travel_Rarely,Research & Development,9,3,Medical,1,110,Female,3,Laboratory Technician,Single,98880,6,15,8,0,20,2,4,1,3,3,3,4,4,3,6.890321256,2-5 years,10-15 % Salary Hike,2-5 years
40,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,111,Female,1,Healthcare Representative,Married,86280,2,20,8,0,8,2,6,1,0,2,4,3,3,3,9.295999525,5-10 years,15-20 % Salary Hike,Less than Year
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,112,Male,4,Human Resources,Single,28670,0,24,8,0,3,5,2,2,2,3,4,3,2,3,10.80607836,2-5 years,20-25 % Salary Hike,2-5 years
21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,1,113,Male,1,Laboratory Technician,Single,53730,1,12,8,1,1,2,1,0,0,3,3,3,2,3,5.995219807,0-1 years,10-15 % Salary Hike,Less than Year
29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,114,Female,2,Research Director,Single,66670,9,12,8,1,6,6,3,1,2,4,3,4,4,3,7.788609977,2-5 years,10-15 % Salary Hike,2-5 years
35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,1,115,Female,3,Sales Executive,Single,50030,9,15,8,0,10,2,1,0,0,3,3,3,2,3,7.717707156,0-1 years,10-15 % Salary Hike,Less than Year
27,No,Travel_Rarely,Sales,2,3,Life Sciences,1,116,Male,1,Sales Executive,Divorced,23670,1,12,8,1,5,2,5,0,4,3,3,4,2,3,6.18945038,2-5 years,10-15 % Salary Hike,2-5 years
28,No,Travel_Rarely,Research & Development,2,2,Medical,1,117,Male,3,Manager,Single,28580,1,12,8,0,7,2,7,0,7,2,3,2,4,3,7.120614224,5-10 years,10-15 % Salary Hike,5-10 years
49,No,Travel_Rarely,Sales,2,3,Technical Degree,1,118,Male,2,Manufacturing Director,Single,52040,8,14,8,1,26,3,5,0,0,3,3,2,3,3,7.825193287,2-5 years,10-15 % Salary Hike,Less than Year
51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,119,Male,1,Sales Executive,Married,41050,4,22,8,1,18,2,7,0,7,3,4,3,4,2,7.619401803,5-10 years,20-25 % Salary Hike,5-10 years
36,No,Travel_Rarely,Sales,15,2,Life Sciences,1,120,Male,1,Sales Executive,Married,96790,4,12,8,0,6,1,2,2,2,3,3,4,3,3,6.0024632,2-5 years,10-15 % Salary Hike,2-5 years
34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,1,121,Male,1,Sales Representative,Single,56170,8,25,8,1,9,3,5,0,4,3,4,1,4,2,9.113126478,2-5 years,20-25 % Salary Hike,2-5 years
55,No,Travel_Rarely,Sales,26,3,Marketing,1,122,Male,1,Laboratory Technician,Single,104480,2,13,8,0,30,3,5,1,2,3,3,3,4,3,8.684139595,2-5 years,10-15 % Salary Hike,2-5 years
24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,123,Female,5,Manager,Divorced,28970,1,18,8,3,5,4,5,0,3,3,3,4,3,4,9.993131643,2-5 years,15-20 % Salary Hike,2-5 years
